track,box,filename,hz
INTELLIVUE/ST_V2,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/ST_V3,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/ST_V4,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/ST_V5,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/ST_V6,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/ST_III,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/ST_AVR,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/ST_AVL,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/ST_AVF,box10,tvpir4b4i_250427_030232.vital,1.0
INTELLIVUE/PLETH_SAT_O2,box10,tvpir4b4i_250626_181606.vital,1.0
INTELLIVUE/PLETH_HR,box10,tvpir4b4i_250626_181606.vital,1.0
INTELLIVUE/PLETH_PERF_REL,box10,tvpir4b4i_250626_181606.vital,1.0
INTELLIVUE/NIBP_SYS,box10,tvpir4b4i_250626_181606.vital,1.0
INTELLIVUE/NIBP_DIA,box10,tvpir4b4i_250626_181606.vital,1.0
INTELLIVUE/NIBP_MEAN,box10,tvpir4b4i_250626_181606.vital,1.0
INTELLIVUE/NIBP_HR,box10,tvpir4b4i_250626_181606.vital,1.0
INTELLIVUE/ECG_HR,box10,tvpir4b4i_250626_181606.vital,1.0
INTELLIVUE/RR,box10,tvpir4b4i_250626_181606.vital,1.0
INTELLIVUE/ECG_VPC_CNT,box10,tvpir4b4i_250626_181606.vital,1.0
INTELLIVUE/ECG_II,box10,tvpir4b4i_250626_181606.vital,500.0
INTELLIVUE/PLETH,box10,tvpir4b4i_250626_181606.vital,125.0
INTELLIVUE/PLETH_SAT_O2,box10,tvpir4b4i_250527_012546.vital,1.0
INTELLIVUE/PLETH_HR,box10,tvpir4b4i_250527_012546.vital,1.0
INTELLIVUE/PLETH_PERF_REL,box10,tvpir4b4i_250527_012546.vital,1.0
INTELLIVUE/ECG_HR,box10,tvpir4b4i_250527_012546.vital,1.0
INTELLIVUE/RR,box10,tvpir4b4i_250527_012546.vital,1.0
INTELLIVUE/ECG_VPC_CNT,box10,tvpir4b4i_250527_012546.vital,1.0
INTELLIVUE/ABP_MEAN,box10,tvpir4b4i_250527_012546.vital,1.0
INTELLIVUE/ABP_SYS,box10,tvpir4b4i_250527_012546.vital,1.0
INTELLIVUE/ABP_DIA,box10,tvpir4b4i_250527_012546.vital,1.0
INTELLIVUE/ABP_HR,box10,tvpir4b4i_250527_012546.vital,1.0
INTELLIVUE/ECG_II,box10,tvpir4b4i_250527_012546.vital,500.0
INTELLIVUE/PLETH,box10,tvpir4b4i_250527_012546.vital,125.0
INTELLIVUE/ABP,box10,tvpir4b4i_250527_012546.vital,125.0
INTELLIVUE/PLETH_SAT_O2,box10,tvpir4b4i_260125_061833.vital,1.0
INTELLIVUE/PLETH_HR,box10,tvpir4b4i_260125_061833.vital,1.0
INTELLIVUE/PLETH_PERF_REL,box10,tvpir4b4i_260125_061833.vital,1.0
